phrase,PQP,auxiliary,verb,marker,translation,group
oui euh c'était pas vous qui étiez venus une fois déjà non ?,vous qui étiez venus une fois déjà,être,venir,déjà,already,already
déménagé euh à Créteil l'année dernière dans le quatre-vingt-quatorze et sinon on avait déjà déménagé mais dans le onzième sur le boulevard Voltaire,on avait déjà déménagé,avoir,déménager,déjà,already,already
la vie est beaucoup plus dure pour les personnes âgées aussi on a de plus de plus en plus de per- de personnes âgées qui qui vont au au resto du coeur et ça moi je m'en étais déjà rendu compte,je m'en étais déjà rendu,être,se rendre,déjà,already,already
mais mais il se trouve qu'il y avait très très peu de lieux qui qui étaient prêts à faire ce pari-là ou qui avait déjà fait un pas dans ce sens-là et du coup voilà le le le,lieux qui avait déjà fait,avoir,faire,déjà,already,already
spontanément bon déjà j'avais évacué évidemment le Quatorzième qui était trop cher pour nous et du coup spontanément je me redirigeais,déjà j'avais évacué,avoir,évacuer,déjà,already,already
Laura m'avait déjà procuré cette sensation-là,Laura m'avait déjà procuré,avoir,procurer,déjà,already,already
qui m'évoquaient rien si tu veux au-delà il y avait bon un petit Abdoulaye que je j'avais déjà entendus,j'avais déjà entendus,avoir,entendre,déjà,already,already
c'est voilà ça m'avait déjà un peu frappée,ça m'avait déjà frappée,avoir,frapper,déjà,already,already
oui mais mais même elle voulait bien le savoir mais je veux dire elle avait déjà bascu- ma mère avait déjà basculé avec elle elle a pas du tout été élevée comme nous comme ma soeur aînée,ma mère avait déjà basculé,avoir,basculer,déjà,already,already
donc ça avait déjà beaucoup évolué,ça avait déjà évolué,avoir,évoluer,déjà,already,already
parce que vos parents étaient déjà à avaient déjà émigré et euh c'est eux,vos parents avaient déjà émigré,avoir,émigrer,déjà,already,already
ah y avait déjà eu euh un métissage,y avait déjà eu un métissage,avoir,avoir,déjà,already,already
trop sur le fait d'être de nationalité j'avais déjà compris que on pouvait être de nationalité française tout en étant intérieurement camerounais et français aussi,j'avais déjà compris,avoir,comprendre,déjà,already,already
euh pour en revenir à une question quand même que vous aviez déjà abordée,vous aviez déjà abordée,avoir,aborder,déjà,already,already
parce que j'avais déjà vu en dix-neuf cent tr-,j'avais déjà vu,avoir,voir,déjà,already,already
non non si non mais j'y avais été déjà je l'avais avertie la,j'y avais été déjà,avoir,être,déjà,already,already
c'était une découverte ou c'était quelque chose que t'avais déjà fait ?,t'avais déjà fait,avoir,faire,déjà,already,already
c'est-à-dire que on av- on avait déjà acquis la sécurité sociale,on avait déjà acquis,avoir,acquérir,déjà,already,already
vous aviez déjà vu les,vous aviez déjà vu,avoir,voir,déjà,already,already
ça avait été proposé déjà au,ça avait été proposé déjà,avoir,être proposé,déjà,already,already
alors qu'il y avait déjà eu un certain nombre de constructions neuves,il y avait déjà eu,avoir,avoir,déjà,already,already
et moi moi je n'étais pas en France à cette époque j'étais déjà rentré,j'étais déjà rentré,être,rentrer,déjà,already,already
déjà avec la guerre de quatorze y avait eu des changements et puis avec la guerre de quarante ça a été encore pire,déjà avec la guerre de quatorze y avait eu,avoir,avoir,déjà,already,already
petite structure euh agréable enfin bon tout le monde s'était déjà bien investi,tout le monde s'était déjà bien investi,être,s’investir,déjà,already,already
ils en avaient bu déjà un euh,ils en avaient bu déjà,avoir,boire,déjà,already,already
et c'est vrai que les petits qui avaient déjà été déjà scolarisés,les petits qui avaient déjà été,avoir,être,déjà,already,already
j'avais déjà quitté la France,j'avais déjà quitté,avoir,quitter,déjà,already,already
et vous en aviez déjà fait ?,vous en aviez déjà fait,avoir,faire,déjà,already,already
non non non je savais pas du tout j'avais eu euh vous m'aviez posé déjà un tas de questions euh la dernière fois enfin pas vous mais un un monsieur qui était venu de très gentil d'ailleurs,vous m'aviez posé déjà la dernière fois,avoir,poser,déjà,already,already
"Puis après on était repartis en, (pause) tous les deux en avion.",puis après on était repartis,être,repartir,après,after,later
et donc après il avait fait marche arrière,après il avait fait,avoir,faire,après,after,later
euh au bout d'un trimestre on m'avait proposé un poste de,au bout d'un trimestre on m'avait proposé,avoir,proposer,au bout d'un trimestre,after one trimester,later
"elle avait continué le métier tout en euh, elle avait juste commencé à apprendre avant. Enfin elle avait continué le métier puis euh.",enfin elle avait continué puis,avoir,continuer,puis,later,later
et puis j'avais travaillé chez Simca alors c'était plus facile qu'on que j'en trouve une,puis j'avais travaillé,avoir,travailler,puis,later,later
puis j'avais vécu à Paris aussi j- i- j'avais des expressions,puis j'avais vécu,avoir,vivre,puis,later,later
et puis j'avais invité une amie à déjeuner avec moi,puis j'avais invité,avoir,inviter,puis,later,later
puis moi j'avais pris une,puis moi j'avais pris,avoir,prendre,puis,later,later
en fait j'avais entendu cette consonance et puis je l'avais répétée très longtemps et puis,puis je l'avais répétée très longtemps,avoir,répéter,puis,later,later
